day_date,start,end,duration_min,room,title,type,track,speakers,url,event_id,guid
2025-09-26,2025-09-26T11:50:00+02:00,2025-09-26T12:25:00+02:00,35,Voyager,Optimal Observability: Partitioning Data into Time-Series for Enhanced Anomaly Detection and Improved Monitoring Coverage,Talk,,Vitalie Spinu,https://cfp.pydata.org/pydata-amsterdam-2025/talk/H7UN8M/,77780,81169f2f-dd22-5ad9-b7f9-9cdaa3c25906
2025-09-26,2025-09-26T13:20:00+02:00,2025-09-26T15:30:00+02:00,130,Orbit,Open source sprints - PyIceberg & PyMC,Sprint,,"Fokko Driesprong, Rob Zinkov",https://cfp.pydata.org/pydata-amsterdam-2025/talk/JDCUMW/,80910,b4f9d2fe-4113-5f6a-8521-35d5f8521ed0
2025-09-26,2025-09-26T13:25:00+02:00,2025-09-26T14:00:00+02:00,35,Apollo,Evaluating the alignment of LLMs to Dutch societal values,Talk,,"Iva Gornishka, Laurens Samson",https://cfp.pydata.org/pydata-amsterdam-2025/talk/9PLYXD/,77718,dffea291-607f-5786-9509-014885aa1182
2025-09-26,2025-09-26T13:25:00+02:00,2025-09-26T14:00:00+02:00,35,Nebula,Kickstart Your Probabilistic Forecasting with Level Set and Quantile Regression Forests,Talk,,Inge van den Ende,https://cfp.pydata.org/pydata-amsterdam-2025/talk/SYQLXY/,77574,209e6283-0f1c-592a-84f5-211e8b3ec41e
2025-09-26,2025-09-26T13:25:00+02:00,2025-09-26T14:00:00+02:00,35,Voyager,Searching for My Next Chart,Talk,,Muhammad Chenariyan Nakhaee,https://cfp.pydata.org/pydata-amsterdam-2025/talk/BR7XSY/,77745,9264b70e-231d-5fdc-aafd-e9e5b211ee2c
2025-09-26,2025-09-26T14:10:00+02:00,2025-09-26T14:45:00+02:00,35,Apollo,Help! There Are Humans in My Data!,Talk,,"Marysia Winkels, Isabelle Donatz-Fest",https://cfp.pydata.org/pydata-amsterdam-2025/talk/TLWFEL/,77613,cb9e01ae-96d3-500f-896e-9b3f68b089cd
2025-09-26,2025-09-26T14:10:00+02:00,2025-09-26T14:45:00+02:00,35,Nebula,"Orchestrating success: How Vinted standardizes large-scale, decentralized data pipelines",Talk,,"Rodrigo Loredo, Oscar Ligthart",https://cfp.pydata.org/pydata-amsterdam-2025/talk/LSEBQ9/,77584,0d7d5efa-007a-52f8-94f9-cc35245ab87c
2025-09-26,2025-09-26T14:10:00+02:00,2025-09-26T14:45:00+02:00,35,Voyager,Is Prompt Engineering Dead? How Auto-Optimization is Changing the Game,Talk,,"Iryna Kondrashchenko, Oleh Kostromin",https://cfp.pydata.org/pydata-amsterdam-2025/talk/9VD97Y/,77586,be81dbd3-87ff-5d5e-bee9-dbeddd94d5ec
2025-09-26,2025-09-26T14:55:00+02:00,2025-09-26T15:30:00+02:00,35,Apollo,Real-Time Context Engineering for LLMs,Talk,,Manu Joseph,https://cfp.pydata.org/pydata-amsterdam-2025/talk/Y3VE9F/,78215,0cf3c6ff-96ef-5186-a8f9-bb8500e94770
2025-09-26,2025-09-26T14:55:00+02:00,2025-09-26T15:30:00+02:00,35,Nebula,Resource Monitoring and Optimization with Metaflow,Talk,,Gergely Daroczi,https://cfp.pydata.org/pydata-amsterdam-2025/talk/UK7LSY/,77763,87570f47-6d45-5c2f-bc66-32e614cf0252
2025-09-26,2025-09-26T14:55:00+02:00,2025-09-26T15:30:00+02:00,35,Voyager,Sieves: Plug-and-Play NLP Pipelines With Zero-Shot Models,Talk,,Raphael Mitsch,https://cfp.pydata.org/pydata-amsterdam-2025/talk/Z7C3PL/,77559,c0b2d750-8127-5180-b085-e0543ccf4b27
2025-09-26,2025-09-26T15:35:00+02:00,2025-09-26T16:10:00+02:00,35,Apollo,Lightning Talks,Lightning Talks,,,https://cfp.pydata.org/pydata-amsterdam-2025/talk/REJMVY/,77055,50cec62c-fa26-5dc1-9f48-f75c52b0ba94
2025-09-26,2025-09-26T16:10:00+02:00,2025-09-26T17:00:00+02:00,50,Apollo,Minus Three Tier: Data Architecture Turned Upside Down,Keynote,,Hannes Mühleisen,https://cfp.pydata.org/pydata-amsterdam-2025/talk/SWW88V/,77532,f0286ce9-4080-5d45-a746-2ef71905fd0b
2025-09-26,2025-09-26T17:00:00+02:00,2025-09-26T17:20:00+02:00,20,Apollo,Conference closing notes,Closing Notes Friday,,,https://cfp.pydata.org/pydata-amsterdam-2025/talk/EENNSW/,77054,92466341-0a41-5149-91ce-cb005910304e
2025-09-26,2025-09-26T17:20:00+02:00,2025-09-26T18:00:00+02:00,40,Apollo,Techie vs Comic: The sequel,Talk,,Arda Kaygan,https://cfp.pydata.org/pydata-amsterdam-2025/talk/8DR3EN/,79497,1dc3d497-1f07-5118-a586-b286605b9b2d
